time(s),radius(m),n_photon(m^-3),n_exotic(m^-3)
-1,10,1390246187380837,-0.00000000000000001281137385121574
-2,10,1390246187380837,-0.00000000000000002562274770243148
-3,10,1390246187380837,-0.00000000000000003843412155364722
-4,10,1390246187380837,-0.00000000000000005124549540486296
-5,10,1390246187380837,-0.0000000000000000640568692560787
-6,10,1390246187380837,-0.00000000000000007686824310729444
-7,10,1390246187380837,-0.00000000000000008967961695851018
-8,10,1390246187380837,-0.00000000000000010249099080972592
-9,10,1390246187380837,-0.00000000000000011530236466094165
-10,10,1390246187380837,-0.0000000000000001281137385121574
